"S.
No",District,Assembly constituency,Corporation/Municipality,Ward Number,Male,Female,Other,Total Voters,parliament constituency,5243023,AC Reservation
1357,Mulugu,Mulug,Mulugu Municipality,18,293,345,0,638,Mahabubabad,,ST)
1358,Mulugu,Mulug,Mulugu Municipality,19,277,337,0,614,Mahabubabad,,ST)
1359,Mulugu,Mulug,Mulugu Municipality,20,309,367,0,676,Mahabubabad,,ST)
1360,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,1,547,503,0,1050,Nagarkurnool,,
1361,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,2,622,594,0,1216,Nagarkurnool,,
1362,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,3,526,492,0,1018,Nagarkurnool,,
1363,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,4,615,649,0,1264,Nagarkurnool,,
1364,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,5,515,571,0,1086,Nagarkurnool,,
1365,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,6,531,539,0,1070,Nagarkurnool,,
1366,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,7,513,508,0,1021,Nagarkurnool,,
1367,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,8,572,594,0,1166,Nagarkurnool,,
1368,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,9,674,742,0,1416,Nagarkurnool,,
1369,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,10,638,658,0,1296,Nagarkurnool,,
1370,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,11,694,671,0,1365,Nagarkurnool,,
1371,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,12,664,694,0,1358,Nagarkurnool,,
1372,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,13,585,527,0,1112,Nagarkurnool,,
1373,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,14,538,504,0,1042,Nagarkurnool,,
1374,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,15,685,705,0,1390,Nagarkurnool,,
1375,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,16,533,555,0,1088,Nagarkurnool,,
1376,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,17,589,562,0,1151,Nagarkurnool,,
1377,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,18,680,679,0,1359,Nagarkurnool,,
1378,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,19,588,637,0,1225,Nagarkurnool,,
1379,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,20,605,617,0,1222,Nagarkurnool,,
1380,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,21,538,545,0,1083,Nagarkurnool,,
1381,Nagarkurnool,Kalwakurthy,Kalwakurthy Municipality,22,523,502,0,1025,Nagarkurnool,,
1382,Nagarkurnool,Kollapur,Kollapur Municipality,1,526,575,0,1101,Nagarkurnool,,
1383,Nagarkurnool,Kollapur,Kollapur Municipality,2,419,396,0,815,Nagarkurnool,,
1384,Nagarkurnool,Kollapur,Kollapur Municipality,3,528,551,0,1079,Nagarkurnool,,
1385,Nagarkurnool,Kollapur,Kollapur Municipality,4,526,497,0,1023,Nagarkurnool,,
1386,Nagarkurnool,Kollapur,Kollapur Municipality,5,473,531,0,1004,Nagarkurnool,,
1387,Nagarkurnool,Kollapur,Kollapur Municipality,6,497,519,0,1016,Nagarkurnool,,
1388,Nagarkurnool,Kollapur,Kollapur Municipality,7,455,469,0,924,Nagarkurnool,,
1389,Nagarkurnool,Kollapur,Kollapur Municipality,8,531,458,0,989,Nagarkurnool,,
1390,Nagarkurnool,Kollapur,Kollapur Municipality,9,529,544,0,1073,Nagarkurnool,,
1391,Nagarkurnool,Kollapur,Kollapur Municipality,10,517,556,0,1073,Nagarkurnool,,
1392,Nagarkurnool,Kollapur,Kollapur Municipality,11,558,576,0,1134,Nagarkurnool,,
1393,Nagarkurnool,Kollapur,Kollapur Municipality,12,503,514,0,1017,Nagarkurnool,,
1394,Nagarkurnool,Kollapur,Kollapur Municipality,13,508,487,0,995,Nagarkurnool,,
1395,Nagarkurnool,Kollapur,Kollapur Municipality,14,465,489,0,954,Nagarkurnool,,
1396,Nagarkurnool,Kollapur,Kollapur Municipality,15,525,545,0,1070,Nagarkurnool,,
1397,Nagarkurnool,Kollapur,Kollapur Municipality,16,496,519,0,1015,Nagarkurnool,,
1398,Nagarkurnool,Kollapur,Kollapur Municipality,17,544,590,0,1134,Nagarkurnool,,
1399,Nagarkurnool,Kollapur,Kollapur Municipality,18,521,486,0,1007,Nagarkurnool,,
1400,Nagarkurnool,Kollapur,Kollapur Municipality,19,472,461,0,933,Nagarkurnool,,
1401,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,1,765,750,0,1515,Nagarkurnool,,
1402,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,2,747,798,0,1545,Nagarkurnool,,
1403,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,3,706,726,0,1432,Nagarkurnool,,
1404,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,4,702,735,0,1437,Nagarkurnool,,
1405,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,5,696,716,0,1412,Nagarkurnool,,
1406,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,6,730,753,0,1483,Nagarkurnool,,
1407,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,7,638,661,0,1299,Nagarkurnool,,
1408,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,8,785,873,0,1658,Nagarkurnool,,
1409,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,9,684,705,0,1389,Nagarkurnool,,
1410,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,10,762,783,0,1545,Nagarkurnool,,
1411,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,11,728,697,0,1425,Nagarkurnool,,
1412,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,12,715,773,0,1488,Nagarkurnool,,
1413,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,13,657,669,0,1326,Nagarkurnool,,
1414,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,14,712,707,0,1419,Nagarkurnool,,
1415,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,15,715,733,0,1448,Nagarkurnool,,
1416,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,16,671,718,0,1389,Nagarkurnool,,
1417,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,17,782,846,0,1628,Nagarkurnool,,
1418,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,18,710,687,0,1397,Nagarkurnool,,
1419,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,19,676,660,0,1336,Nagarkurnool,,
1420,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,20,678,767,0,1445,Nagarkurnool,,
1421,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,21,731,746,0,1477,Nagarkurnool,,
1422,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,22,809,743,0,1552,Nagarkurnool,,
1423,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,23,881,925,0,1806,Nagarkurnool,,
1424,Nagarkurnool,Nagarkurnool,Nagarkurnool Municipality,24,780,747,0,1527,Nagarkurnool,,
1425,Nalgonda,Munugode,Chandur Municipality,1,527,533,0,1060,Bhongir,,
1426,Nalgonda,Munugode,Chandur Municipality,2,559,576,0,1135,Bhongir,,
1427,Nalgonda,Munugode,Chandur Municipality,3,594,612,0,1206,Bhongir,,
1428,Nalgonda,Munugode,Chandur Municipality,4,625,633,1,1259,Bhongir,,
