S.No	RIO	State	District	Assembly Constituency	Mandal	Gram Panchayat
317	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Boregaon
318	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Buddhikonda
319	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Buggaram	504323
320	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Chinna Buggaram
321	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Darba Thanda
322	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Guthpala
323	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Ispur (Mathura Thanda)
324	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Kishtapur
325	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Koratkal (B)
326	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Kortikal (K)
327	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Kumari
328	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Kuntala (Buzurg)
329	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Kuntala (Kurd)
330	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Lakhampur (G)
331	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Lingatla
332	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Nagamalyal
333	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Narayanpur
334	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Neradigonda
335	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Peechara
336	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Rajura
337	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Rollmamda
338	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Sawargaon (Road)
339	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Tarnam-K
340	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Tejapur
341	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Venkatapur
342	Adilabad	Telangana	Adilabad	Boath (ST)	Neradigonda	Waddur
